,INDUSTRY_GICS,MKT,BACKDOOR,IPO_DATE,IPO_PRICE,IPO_AMOUNT,IPO_EXPENSE,IPO_LEADUNDR,IPO_TYPE,ipotime,iporeturn,ipoturn
002892.SZ,工业,中小企业板,否,2017,17.56,20900000,40615335.17,兴业证券股份有限公司,"网下询价,上网定价",17,114.3534994,0.029794091
002893.SZ,公用事业,中小企业板,否,2017,8.56,30000000,39185500,招商证券股份有限公司,"网下询价,上网定价",39,94.97161395,0.009294133
002895.SZ,材料,中小企业板,否,2017,7.03,40010000,41280900,国海证券股份有限公司,"网下询价,上网定价",18,135.6719368,0.013892778
002896.SZ,工业,中小企业板,否,2017,11.75,20000000,36166400,安信证券股份有限公司,上网定价,13,114.4208038,0.00945705
002897.SZ,信息技术,中小企业板,否,2017,20.68,26670000,51431700,中国国际金融股份有限公司,"网下询价,上网定价",17,91.6051041,1.57781136
002898.SZ,医疗保健,中小企业板,否,2017,8.31,40000000,32715500,西部证券股份有限公司,"网下询价,上网定价",22,135.839599,0.0173345
002899.SZ,可选消费,中小企业板,否,2017,16.05,30000000,48294600,中信证券股份有限公司,"网下询价,上网定价",18,94.85071398,0.480668157
002900.SZ,医疗保健,中小企业板,否,2017,18.07,52766700,53375312.82,安信证券股份有限公司,"网下询价,上网定价",18,69.29285165,2.072241306
002901.SZ,医疗保健,中小企业板,否,2017,11.56,40100000,37337400,中信证券股份有限公司,"网下询价,上网定价",17,135.9159159,0.025075661
002902.SZ,信息技术,中小企业板,否,2017,14.13,35000000,59319300,中信建投证券股份有限公司,"网下询价,上网定价",17,135.8722359,0.022605086
002903.SZ,工业,中小企业板,否,2017,12.78,25000000,46825600,安信证券股份有限公司,"网下询价,上网定价",25,114.3478261,0.01377372
002905.SZ,可选消费,中小企业板,否,2017,20.98,42000000,70810000,中信建投证券股份有限公司,"网下询价,上网定价",26,49.02350215,1.395700932
002906.SZ,可选消费,中小企业板,否,2017,13.69,73100000,59879000,瑞银证券有限责任公司,"网下询价,上网定价",25,59.30999493,1.782773256
002907.SZ,医疗保健,中小企业板,否,2017,4.53,40060000,34929300,第一创业证券承销保荐有限责任公司,"网下询价,上网定价",24,95.09202454,0.005397304
002908.SZ,信息技术,中小企业板,否,2017,7.58,33340000,38854700,中航证券有限公司,"网下询价,上网定价",25,94.78021978,0.007664817
002909.SZ,材料,中小企业板,否,2017,7.47,30000000,33755400,中航证券有限公司,"网下询价,上网定价",28,114.4052045,0.0061154
002910.SZ,日常消费,中小企业板,否,2017,7.46,46840000,39922700,华龙证券股份有限公司,"网下询价,上网定价",21,114.2458101,0.006927583
002911.SZ,公用事业,中小企业板,否,2017,13.94,56000000,65757800,中国银河证券股份有限公司,"网下询价,上网定价",22,20.32884903,2.480188608
002912.SZ,信息技术,中小企业板,否,2017,30.22,16700000,41958200,国信证券股份有限公司,上网定价,14,113.2582721,1.124780655
002913.SZ,信息技术,中小企业板,否,2017,30.38,36013000,66939740,国信证券股份有限公司,"网下询价,上网定价",18,12.54857143,2.383562803
002915.SZ,材料,中小企业板,否,2017,6.43,28000000,35452600,中国银河证券股份有限公司,"网下询价,上网定价",21,135.9611231,0.013839285
002916.SZ,信息技术,中小企业板,否,2017,19.3,70000000,83367300,国泰君安证券股份有限公司,"网下询价,上网定价",22,135.8402303,0.035917442
002917.SZ,材料,中小企业板,否,2017,11.64,28270000,36814200,招商证券股份有限公司,"网下询价,上网定价",17,44.45107399,2.346335411
002918.SZ,工业,中小企业板,否,2017,31.29,39430000,109703600,招商证券股份有限公司,"网下询价,上网定价",20,26.00976476,2.936556339
002919.SZ,日常消费,中小企业板,否,2017,12.56,20360000,38816300,广发证券股份有限公司,"网下询价,上网定价",19,94.9143173,0.039728239
002920.SZ,信息技术,中小企业板,否,2017,20.42,100000000,70213600,国信证券股份有限公司,"网下询价,上网定价",21,53.53741497,2.355396748
002921.SZ,工业,中小企业板,否,2017,11.55,20000000,32132000,中泰证券股份有限公司,上网定价,14,135.7185809,0.821712971
002922.SZ,工业,中小企业板,否,2017,12.41,33000000,47235000,华林证券股份有限公司,"网下询价,上网定价",17,94.96362619,1.071475744
002923.SZ,医疗保健,中小企业板,否,2018,17.01,25000000,79639700,第一创业证券承销保荐有限责任公司,"网下询价,上网定价",18,92.89505921,2.18466711
